#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email
California,"Comprehensive Disability Related Employment Programs, , ","Comprehensive Disability Related Employment Programs, , ",  Bakersfield Association for Retarded Citizens on the Move,661-834-2272,2240 South Union AvenueBakersfield,Bakersfield,CA,93307,"Comprehensive Disability Related Employment Programs, , ",661-834-2272,http://www.barc-inc.org,Disabled adults ,"Description	Provides job-training and work opportunities.",N/A,dkyle@barc-inc.org
California,", ",", ", Los Angeles Ronald McDonald House,N/A,4560 Fountain AvenueLos Angeles,Angeles,CA,90029,", ",N/A,http://www.larmh.org,DescriptionProvides temporary lodging to families of children 18 years of age or younger that are undergoing hospitalization.,DescriptionProvides temporary lodging to families of children 18 years of age or younger that are undergoing hospitalization.,Vincent Bryson                                    Executive  Director                               323-644-3080,mmalone@rmhcsc.org
California,"Food Pantries, Prescription Drug Discount Cards, Post Disaster Food Services, , ","Food Pantries, Prescription Drug Discount Cards, Post Disaster Food Services, , ", Lost Hills Community Center,N/A,Lost Hills Community Center,Center,CA,93249,"Food Pantries, Prescription Drug Discount Cards, Post Disaster Food Services, , ",N/A,http://www.capk.org/,Open to the public. ,DescriptionOffers food assistance once a month (please see description of hours below). ,N/A,info@capk.org
California,"Teen Family Planning Programs, Prenatal Care, General Sexuality/Reproductive Health Education, Community Clinics, General Dentistry, , ","Teen Family Planning Programs, Prenatal Care, General Sexuality/Reproductive Health Education, Community Clinics, General Dentistry, , ", Lost Hills Community Health Center,661-797-2667,21138 Paso Robles HighwayLost Hills,Hills,CA,93249,"Teen Family Planning Programs, Prenatal Care, General Sexuality/Reproductive Health Education, Community Clinics, General Dentistry, , ",661-797-2667,http://www.nhsinc.org,Open to the public. ,"DescriptionProgram provides medical and dental services as well as educational programs for family planning, prenatal, HIV/AIDS, health and nutrition and WIC referrals. The center also provides a financial programs to assist individuals and families in meeting their health care costs and obligations.",Maria Ayala                                       Front Desk                                        ,loates@nhsinc.org
California,"Food Pantries, Clothing, Personal/Grooming Needs, School Readiness Programs, Child Passenger Safety Seats, Developmental Screening, Family Support Centers/Outreach, Parenting Skills Classes, , ","Food Pantries, Clothing, Personal/Grooming Needs, School Readiness Programs, Child Passenger Safety Seats, Developmental Screening, Family Support Centers/Outreach, Parenting Skills Classes, , ", Lost Hills Family Resource Center,661-797-3042,14823 Office LaneLost Hills,Hills,CA,93249,"Food Pantries, Clothing, Personal/Grooming Needs, School Readiness Programs, Child Passenger Safety Seats, Developmental Screening, Family Support Centers/Outreach, Parenting Skills Classes, , ",661-797-3042,http://losthills.k12.ca.us,Children 0-5. ,"DescriptionProgram provides early education and child development services. Also available: community meetings, case management, food baskets, clothing, school supplies, car seats, developmental screening, and personal hygiene items.  ",Alesha Hixon                                   Coordinator                                       ,aleshahixon@yahoo.com
California,", ",", ", Lost Hills Union School District,(661)797-3042,21109 California 46Lost Hills,Hills,CA,93249,", ",(661)797-3042,https://www.losthills.k12.ca.us,DescriptionProvides general information regarding administration and programs for Lost Hills school district.,DescriptionProvides general information regarding administration and programs for Lost Hills school district.,Alesha Hixon                                      Program Coordinator                               ,aleshahixon@yahoo.com
California,", ",", ", Love In The Name of Christ ,N/A,N/A,N/A,N/A,N/A,", ",N/A,http://www.loveincbakersfield.org,"Intake And Assessment Required Must Meet Agency Criteria.Must Be A Bakersfield Resident. ","DescriptionAll items and assistance are based on donations and volunteer availability.Program assists with appliance repair, auto mechanics, budget advice, food referrals, baby pantry (food, clothing, and diapers),  home maintenance, and prayer..* Do not refer for utility assistance. ",N/A,info@loveincbakersfield.org
California,"Food Pantries, Formula/Baby Food, Baby Clothing, Diapers, Automotive Repair and Maintenance, Holiday Programs, , ","Food Pantries, Formula/Baby Food, Baby Clothing, Diapers, Automotive Repair and Maintenance, Holiday Programs, , ", Love In the Name of Christ,661-325-8838,N/A,N/A,N/A,N/A,"Food Pantries, Formula/Baby Food, Baby Clothing, Diapers, Automotive Repair and Maintenance, Holiday Programs, , ",661-325-8838,http://www.loveincbakersfield.org,"Intake and assessment required must meet agency criteria. Must be a Bakersfield resident. ","DescriptionAll items and assistance are based on donations and volunteer availability.Program assists with appliance repair, auto mechanics, food referrals, baby pantry (food, clothing, and diapers), and prayer.* Do not refer for utility assistance.  ",N/A,admini@loveinc.bakersfield.org
California,"Housing Search Assistance, Low Income/Subsidized Rental Housing, Housing Authorities, , ","Housing Search Assistance, Low Income/Subsidized Rental Housing, Housing Authorities, , ", Low Income Public Housing,661-631-8500,601 24th StreetBakersfield,Bakersfield,CA,93301,"Housing Search Assistance, Low Income/Subsidized Rental Housing, Housing Authorities, , ",661-631-8500,http://www.kernha.org,Low to moderate income families. ,"DescriptionProgram offers fourteen housing complexes operated by the agency. Rents are based on 30% of the tenant’s monthly net adjusted income or ceiling rents, based on the size of the unit – whichever is less. Families must pay a minimum of $50.00 for rent each month. There is a total of 936 LIPH units in Kern County.",N/A,hkimmel@kernha.org
California,", ",", ", Mable Davis Senior Center,661-256-0557,10221 Heather AvenueCalifornia City,City,CA,93505,", ",661-256-0557,http://www.californiacity-ca.gov/CC/index.php/community/local-news-8/2017,"Senior Center is open to anyone over 55.Lunch is open to seniors, non-seniors,  and caregivers. Must call a day before to make a lunch reservation.  ","DescriptionProvide various programs for the senior community including: hot lunch, social recreation, nutrition education, outings and special events.",Kristian Besnard          Program Coordinator-Nutrition(661) 868-1100 ,nutritioninfo@kerncounty.com
California,"Congregate Meals/Nutrition Sites, Senior Centers, , ","Congregate Meals/Nutrition Sites, Senior Centers, , ", Mable Davis Senior Center,760-373-1006,10221 Heather AvenueCalifornia City,City,CA,93505,"Congregate Meals/Nutrition Sites, Senior Centers, , ",760-373-1006,http://www.californiacity-ca.gov/CC/index.php/community/local-news-8,"Senior Center is open to anyone over 55.Lunch is open to seniors, non-seniors,  and caregivers. Must call a day before to make a lunch reservation.  ","DescriptionProvides various programs for the senior community including: hot lunch, social recreation, nutrition education, outings and special events.",Michael Edmiston                                  President                                         ,N/A
California,"Wish Foundations, , ","Wish Foundations, , ", Make-A-Wish Foundation of Central California,559-221-9474,351 West Cromwell Avenue,N/A,CA,93711,"Wish Foundations, , ",559-221-9474,https://necannv.wish.org,"18 and under, terminally ill. ","Description	Program arranges meaningful experiences (described as ""wishes"") to children with life threatening medical conditions.",N/A,info@necannv.wish.org
California,", ",", ", Make-A-Wish Foundation of Central California,(559)221-9474,351 West Cromwell Avenue,N/A,CA,93711,", ",(559)221-9474,https://necannv.wish.org,"DescriptionArranges meaningful experiences (described as ""wishes"") to children with life threatening medical conditions.","DescriptionArranges meaningful experiences (described as ""wishes"") to children with life threatening medical conditions.",Joel SaxtonChairman,info@necannv.wish.org
California,"Food Pantries, Prescription Drug Discount Cards, Post Disaster Food Services, , ","Food Pantries, Prescription Drug Discount Cards, Post Disaster Food Services, , ", Maricopa Service Center,N/A,271 California StreetMaricopa,Maricopa,CA,93252,"Food Pantries, Prescription Drug Discount Cards, Post Disaster Food Services, , ",N/A,http://www.capk.org/,Open to the public. ,DescriptionProvides a food pantry.,N/A,info@capk.org
California,"Specialized Counseling Services, , ","Specialized Counseling Services, , ", Marriage And Family Counseling Center of Antelope Valley,661-948-0871,43713 20th Street WestLancaster,Lancaster,CA,93534,"Specialized Counseling Services, , ",661-948-0871,http://www.mfccofav.com,Open to the public. ,"DescriptionProvides family, group and marital therapy, psychological testing, post abuse and molestation counseling.",Dr. Robert Howard Ph.D                            Executive Director                                ,mfccofav@verizon.net
California,"Marriage Licenses, , ","Marriage Licenses, , ", Marriage Licensing,661-868-3588,1115 Truxtun AvenueBakersfield,Bakersfield,CA,93301,"Marriage Licenses, , ",661-868-3588,http://www.kerncountyclerk.com/en/Marriage/Information.aspx,Open to the public. 17 years of age and younger must call the Kern County Probation Department for information regarding marriage license. ,DescriptionProvides public and confidential marriage licenses to the public.,Ann K. Bernett                                    County Clerk                                      ,N/A
California,"Mental Health Drop In Centers, , ","Mental Health Drop In Centers, , ", Mary K. Shell Center,661-868-8111,2151 College AvenueBakersfield,Bakersfield,CA,93305,"Mental Health Drop In Centers, , ",661-868-8111,http://www.co.kern.ca.us/kcmh,Adults requiring mental health services. ,"Description 	Provides evaluation, prevention, diagnosis and treatment of mental, emotional and behavioral health issues.",William WalkerCrisis Services Administrator661-868-8155,bwalker@co.kern.ca.us
California,"Instructional Materials, Printed Materials, , ","Instructional Materials, Printed Materials, , ", Materials Lab,661-636-4783,2020 K StreetBakersfield,Bakersfield,CA,93301,"Instructional Materials, Printed Materials, , ",661-636-4783,http://www.kern.org,"Parents, teachers, and general public. ","Description Offers a variety of resources and reference materials for research and class planning. Lab is equipped with a variety of research tools including: computers, projectors and copy machines.",,N/A
California,"Prenatal Care, Maternal and Fetal Medicine, , ","Prenatal Care, Maternal and Fetal Medicine, , ", Maternal Child and Adolescent Health ,661-321-3000,1800 Mount Vernon AvenueBakersfield,Bakersfield,CA,93306,"Prenatal Care, Maternal and Fetal Medicine, , ",661-321-3000,http://kernpublichealth.com/,Pregnant women and infants 0-18 months ,"DescriptionProvides medical care, patient education and prenatal care for expectant mothers. Also provides infants with exams and immunizations.",N/A,publichealth@kerncounty.com
California,"Prenatal Care, Maternal and Fetal Medicine, Family Support Centers/Outreach, , ","Prenatal Care, Maternal and Fetal Medicine, Family Support Centers/Outreach, , ", Maternal-Child Outreach Program,661-323-6086,301 Brundage LaneBakersfield,Bakersfield,CA,93304,"Prenatal Care, Maternal and Fetal Medicine, Family Support Centers/Outreach, , ",661-323-6086,http://www.clinicasierravista.org,Low income pregnant women ,"DescriptionProgram offers a comprehensive prenatal care program for pregnant women including: medical care, patient education, support services and child birth classes. This location also provides an on-site WIC Program and Teen Smart Services Program.","Stephen W, Schilling                        ceo                                    661-635-3050",N/A
California,"Prenatal Care, Maternal and Fetal Medicine, , ","Prenatal Care, Maternal and Fetal Medicine, , "," Maternal-Child Outreach Program, McFarland",661-792-3038,217 West Kern AvenueMc Farland,Farland,CA,93250,"Prenatal Care, Maternal and Fetal Medicine, , ",661-792-3038,http://www.clinicasierravista.org,Low-income pregnant women  ,"DescriptionProgram provides medical care, patient education and prenatal care for expectant mothers. They also follow the infants until they are 18 months of age to assure well child exams and immunizations are obtained.",Emily Alaniz                                      Office Manager                                    ,N/A
California,"First Aid Instruction, Recreational Facilities, Swimming/Swimming Lessons, , ","First Aid Instruction, Recreational Facilities, Swimming/Swimming Lessons, , ", Mc Murtrey Aquatic Center,(661) 852-7430,1325 Q StreetBakersfield,Bakersfield,CA,93301,"First Aid Instruction, Recreational Facilities, Swimming/Swimming Lessons, , ",(661) 852-7430,http://www.bakersfieldcity.us,Open to the public.  ,"DescriptionProvides a recreational pool and a 50-meter competition pool. Other amenities include a double water slide, a water volley ball area, and a designed interactive wet play equipment. Also provides swim classes, water safety education program and child/infant CPR courses available.  ",Ja'Nette Beck           Recreation Supervisor II                          (661) 852-7430,ComPks@bakersfieldcity.us
California,"Public Internet Access Sites, Public Libraries, Children's Library Services, , ","Public Internet Access Sites, Public Libraries, Children's Library Services, , ", McFarland  Branch Library,661-792-2318,500 West Kern AvenueMc Farland,Farland,CA,93250,"Public Internet Access Sites, Public Libraries, Children's Library Services, , ",661-792-2318,http://www.kerncountylibrary.org,Open to all ,"Description Program services include bookmobiles, interlibrary loan, on-line public catalog, typewriters and computers for public use, CD-ROM technology databases covering a variety of specialized subjects, complete children's services including story hours and dial-a-story and library tours for groups and services for visually and hearing impaired users.",N/A,info@kerncountylibrary.org
California,", ",", ", McFarland Recreation and Park District,N/A,100 South Second StreetMc Farland,Farland,CA,93250,", ",N/A,N/A,Open ,"DescriptionOffers two community parks, a swimming pool, gym, office and community center. Also offers, year-round programs for people of all ages including pre-school ""fun-skills"", soccer, cross-county, flag football, basketball, track, swim lessons, public swimming, aerobics, aqua aerobics, Saturday night activity programs, teen travel, senior travel and senior meal programs.",Jeff Nickell                                 District Manager                                ,etolley@capk.org
California,"Recreational Facilities, General Recreational Activities/Sports, , ","Recreational Facilities, General Recreational Activities/Sports, , ", McFarland Recreation And Park District,661-792-3187,100 South Second StreetMcfarland,Mcfarland,CA,93250,"Recreational Facilities, General Recreational Activities/Sports, , ",661-792-3187,http://www.mcfarlandrpd.com/home/,Open ,"DescriptionProgram offers two community parks, a swimming pool, gym, office and community center. Also offers, year-round programs for people of all ages including pre-school ""fun-skills"", soccer, cross-county, flag football, basketball, track, swim lessons, public swimming, aerobics, aqua aerobics, Saturday night activity programs, teen travel, senior travel and senior meal programs.",Jeff NickellDistrict Manager ,etolley@capk.org
California,", ",", ", McFarland Unified School District,661-792-1883,601 Second StreetMc Farland,Farland,CA,93250,", ",661-792-1883,http://www.mcfarlandusd.com,Kindergarten through 12th grade. ,"Description Provides a broad-based academic curriculum for all grades, kindergarten through twelfth grade. ",Ambelina Garcia-Duran               Deputy Superintendent                                    (661) 792-3081,rebravo@mcfarland.k12.ca.us
California,", ",", ", Meadows Field Airport,661-391-1849,3701 Wings Way Bakersfield,Bakersfield,CA,93308,", ",661-391-1849,http://www.meadowsfield.com,Open to all  ,"Description	Provides nonstop flights to Denver, Houston, Los Angeles, Phoenix and San Francisco and one-stop flights to hundreds of domestic and international destinations on United Airlines and US Airways.",Jack Gotcher                                      Airport Director                                  ,harringtonm@co.kern.ca.us
California,"Air Transportation, , ","Air Transportation, , ", Meadows Field Airport ,661-391-1800,3701 Wings Way Bakersfield,Bakersfield,CA,93308,"Air Transportation, , ",661-391-1800,http://www.meadowsfield.com,Open to all  ,"DescriptionProvides nonstop flights to Denver, Houston, Los Angeles, Phoenix and San Francisco and one-stop flights to hundreds of domestic and international destinations on United Airlines and US Airways.",Jack Gotcher                                      Airport Director                                  ,harringtonm@co.kern.ca.us
California,"Home Delivered Meals, Older Adults, , ","Home Delivered Meals, Older Adults, , ", Meals on Wheels of Kern County Aging and Adult Services,661-868-1000,5357 Truxtun AvenueBakersfield,Bakersfield,CA,93309,"Home Delivered Meals, Older Adults, , ",661-868-1000,http://www.co.kern.ca.us/aas/nutritionmenu.aspx#.WC-Hrcn3i0g,Seniors 60 and over. ,DescriptionProvides home delivered meals to eligible seniors.                     ,N/A,aginginfo@kerncounty.com
California,"Vocational Centers, , ","Vocational Centers, , ", Medical Assistant,N/A,2150 7th StreetWasco,Wasco,CA,93280,"Vocational Centers, , ",N/A,http://www.nkvtc.org,Open to the public. ,Description Program provides a medical  vocational training programs for high school students and adults.,Mrs. Amy Bean                            Executive Director661-758-3045,ambean@wascohsd.org
California,"Discounted Utility Services, , ","Discounted Utility Services, , ", Medical Baseline Allowance ,1-800-743-5000,PG&E Attention: Medical Baseline,Baseline,CA,95208,"Discounted Utility Services, , ",1-800-743-5000,https://www.pge.com/en_US/residential/save-energy-money/help-paying-your-bill/longer-term-assistance/medical-condition-related/medical-baseline-allowance/medical-baseline-online-sign-up.page,"To qualify, a California-licensed physician must certify that a full-time resident in your home has one of the following medical issues:Life Support (includes any medical device used to sustain life)Paraplegic, hemiplegic or quadriplegic condition.Multiple sclerosis with special heating and/or cooling needs.Scleroderma with special heating needs.Life-threatening illness or compromised immune system, and special heating and/or cooling are needed to sustain life or prevent medical deterioration. ","DescriptionProvides financial assistance program for residential customers that have special energy needs due to certain qualifying medical conditions.If application is approved, program may take up to a billing cycle from the date of approval. ",,N/A
California,"Prenatal Care, Pregnancy/Birth Problems, , ","Prenatal Care, Pregnancy/Birth Problems, , ", Medical Office of Dr. Randy Fok,N/A,2330 Truxtun Ave #ABakersfield,#ABakersfield,CA,93301,"Prenatal Care, Pregnancy/Birth Problems, , ",N/A,http://www.capk.org/,Pregnant women ,Description Provides prenatal care to women that have a history of high risk pregnancies. ,"Randy Fok, M.D.                                   Physician                                         ",N/A
California,", ",", ", Medical Office of Dr. Randy Fok,N/A,2330 Truxtun Ave #ABakersfield,#ABakersfield,CA,93301,", ",N/A,N/A,Pregnant women ,DescriptionProvides prenatal care to women that have a history of high risk pregnancies.,"Randy Fok, M.D.                                   Physician                                         ",N/A
California,"State/Local Health Insurance Information/Counseling, , ","State/Local Health Insurance Information/Counseling, , "," Medi-Cal Outreach, Healthy Families",N/A,1800 Mount Vernon AvenueBakersfield,Bakersfield,CA,93306,"State/Local Health Insurance Information/Counseling, , ",N/A,http://kernpublichealth.com/,Open to the public ,DescriptionProvides information and assistance with completing the necessary paperwork to those applying for Medi-Cal or other insurance programs.,N/A,publichealth@kerncounty.com
California,"Vocational Centers, , ","Vocational Centers, , "," Medical Receptionist, Delano",661-725-4187,1732 Norwalk StreetDelano,Delano,CA,93215,"Vocational Centers, , ",661-725-4187,http://www.nkvtc.org,"11th and 12th graders, out-of-school youth 16 years of age and older, adults. ","DescriptionProvides students with skills necessary to perform as a receptionist in a medical office. Class topics include: review of keyboarding, telephone etiquette, filing, appointment control, basic accounting, medical terminology, medical law and ethics and medical forms.",Amy BeanDirector661-758-3045,kahart@wascohsd.org
California,"State/Local Health Insurance Programs, , ","State/Local Health Insurance Programs, , "," Medi-Cal, Kern County Department Of Human Services",877-410-8812,100 East California AvenueBakersfield,Bakersfield,CA,93307,"State/Local Health Insurance Programs, , ",877-410-8812,http://www.co.kern.ca.us/dhs/,Must meet Federal and State income and property guidelines. ,DescriptionProvides assistance with determining eligibility for Medi-Cal and Healthy Kids insurance application.,Dena Murphy             Director                                          ,N/A
California,"City/County Hospitals, , ","City/County Hospitals, , ", Memorial Hospital,661-327-4647,420 34th StreetBakersfield,Bakersfield,CA,93301,"City/County Hospitals, , ",661-327-4647,http://www.bakersfieldmemorial.org,No information has been provided by Agency. ,"Description Provides a full service hospital with a 24-hour emergency room and acute care center, chest pain center, surgical center, home health care and skilled nursing care, cardiac, vascular, neurological/ neurosurgical, orthopedic, general surgery, cardiology, obstetrics and outpatient services after delivery.",Jon Van Boening                                   President                                         ,N/A
California,"City/County Hospitals, , ","City/County Hospitals, , ", Mercy Hospital,661-632-5000,2215 Truxtun AvenueBakersfield,Bakersfield,CA,93301,"City/County Hospitals, , ",661-632-5000,https://www.dignityhealth.org/central-california/locations/mercy-bakersfield,No information has been provided by Agency. ,DescriptionProvides a full service hospital with 24-hour emergency services available.,Russell Judd                                      Hospital President                                ,etolley@capk.org
California,"Food Pantries, Diapers, Personal/Grooming Needs, Paratransit Programs, Identification Cards, Subject Tutoring, Cancer Detection, Occasional Medical Equipment/Supplies, Recreational Clubs, , ","Food Pantries, Diapers, Personal/Grooming Needs, Paratransit Programs, Identification Cards, Subject Tutoring, Cancer Detection, Occasional Medical Equipment/Supplies, Recreational Clubs, , ", Mercy Memorial Learning Center,661-325-2995,631 East California AvenueBakersfield,Bakersfield,CA,93307,"Food Pantries, Diapers, Personal/Grooming Needs, Paratransit Programs, Identification Cards, Subject Tutoring, Cancer Detection, Occasional Medical Equipment/Supplies, Recreational Clubs, , ",661-325-2995,http://www.dignityhealth.org,"Low income families, homeless, and seniors ","DescriptionProgram provides a food distribution (see times), after school tutoring, parenting classes, and no cost cervical and breast exams and/or mammograms to qualifying women. Also provides shower chairs, walkers, and canes at no cost for those who qualify.Offers referrals to local homeless shelter, church organizations, and healthcare facilities. Referrals include but are not limited to: bus vouchers for medical appointments, hygiene kits, diapers, food, clothing, and identification cards from the DMV.*Must register for food box. Please see registration times*",Yolanda Leon                                      Contact Person                                    ,cherylmg@sbcglobal.net
California,"Soup Kitchens, Youth Enrichment Programs, , ","Soup Kitchens, Youth Enrichment Programs, , ", Mercy Outreach Center,661-325-2995,1102 South Robinson StreetBakersfield,Bakersfield,CA,93307,"Soup Kitchens, Youth Enrichment Programs, , ",661-325-2995,http://www.dignityhealth.org,Open to the public.  ,DescriptionProgram provides a soup kitchen and after school program.,Sheryl Guillemet                                  Project Coordinator                               ,N/A
California,"City/County Hospitals, , ","City/County Hospitals, , ", Mercy Southwest Hospital ,661-663-6000,400 Old River RoadBakersfield,Bakersfield,CA,93312,"City/County Hospitals, , ",661-663-6000,http://www.mercybakersfield.org,No information has been provided by Agency. ,DescriptionProvides a full service hospital with 24-hour emergency services available.                         ,Keren Martinez                                    Admissions supervisor                              ,info@ilcofkerncounty.org
California,"Consulates/Foreign Government Representatives, Passports, , ","Consulates/Foreign Government Representatives, Passports, , ", Mexican Consulate,559-233-3065,7435 N Ingram AveFresno,AveFresno,CA,93711,"Consulates/Foreign Government Representatives, Passports, , ",559-233-3065,http://www.mexonline.com/consulate.htm,Open ,"DescriptionProvides assistance in preparing documentation and travel documents. Services include: matricula consular, mexican nationality claims, information about deferred action for early arrivals (DACA), and mexican passports (no immigration services).",Reyna Torres Mendivil                             Consule of Mexico                                 ,consulado@consulmexfresno.net
California,", ",", ", Mexican Consulate,877-639-4835,7435 North Ingram AvenueFresno,Fresno,CA,93711,", ",877-639-4835,http://consulmex.sre.gob.mx/fresno/,Open ,"DescriptionPrepares documentation and travel documents for foreigners traveling to Mexico. Services include: matricula consular, mexican nationality claims and mexican passports (no immigration services).",Reyna Torres Mendivil                             Consule of Mexico                                 ,consulado@consulmexfresno.net
California,"Food Pantries, Child Care Expense Assistance, Child Care Provider Referrals, , ","Food Pantries, Child Care Expense Assistance, Child Care Provider Referrals, , ", Migrant Childcare Alternative Payment Program,661-336-5236,5351 Olive Drive,N/A,CA,93308,"Food Pantries, Child Care Expense Assistance, Child Care Provider Referrals, , ",661-336-5236,http://www.capk.org/programs/migrant-ap-child-care/,"Migrant: Move at least once every twelve months or intend to move for agricultural work    purposeAgricultural Worker: Work in agriculture, and earn at least fifty percent (50%) of their total gross income from employment in fishing, agriculture or agricultural related employmentIncome: Familyâ€™s adjusted monthly income is at or below seventy-five percent (75%) of the state median income; as adjusted for family sizeEligibility: children between 0 and 12 years of age and up to age 21 if a child has special needs or is disabled.Need: Parents must be working, seeking employment, incapacitated, homeless and seeking permanent housing or attending vocational training  Must be part of the program to receive food.  ",DescriptionProgram provides child care services to migrant agriculturally working families. Also provides a food pantry to families who are part of the program.,N/A,smagana@capk.org
California,", ",", ", Migrant Education Farm Worker Hotline,800-234-8848,1300 17th StreetBakersfield,Bakersfield,CA,93301,", ",800-234-8848,http://www.kern.org,Migrant students ,"DescriptionAssists migrant students with tutoring, referral services, food, clothing, shelter, medical and more.",Jose Morales                                      Director                                          (661) 636-4779,jomorales@Kern.org
California,"Juvenile DUI Programs, Drug Use Disorder Education/Prevention, , ","Juvenile DUI Programs, Drug Use Disorder Education/Prevention, , ", Minor Alcohol and Drug Education Program,661-587-8727,3533 Mount Vernon AvenueBakersfield,Bakersfield,CA,93306,"Juvenile DUI Programs, Drug Use Disorder Education/Prevention, , ",661-587-8727,http://www.steps-inc.com,Minors under 18 who have been convicted of a DUI. ,DescriptionProgram provides substance abuse awareness and education for court referred minors under 18 years of age convicted of DUI charges.,Linda EvistonExecutive Director                                ,N/A
California,"Health Screening/Diagnostic Services, , ","Health Screening/Diagnostic Services, , ", Mobile Health Screening Unit,661-282-1755,N/A,N/A,N/A,N/A,"Health Screening/Diagnostic Services, , ",661-282-1755,http://www.dignityhealth.org/mercy-bakersfield/classes-and-events/health-screenings,Must be 18 or older ,"DescriptionProvides mobile health screenings for blood pressure, cholesterol, blood sugar, body composition.",,N/A
California,"Childhood Immunization, , ","Childhood Immunization, , ", Mobile Immunization Unit ,661-869-6740,2615 Chester AvenueBakersfield,Bakersfield,CA,93301,"Childhood Immunization, , ",661-869-6740,https://www.adventisthealth.org/Bakersfield/pages/services/childrens-immunizations.aspx,"Children 0-18, no health insurance, enrolled in Medi-Cal (Medi-Cal card is required), or an American Indian or Alaskan Native ","Description	Provides immunizations to children in Kern County through a mobile unit.	 ",,vegama@ah.org
California,"Animal Licenses, Animal Adoption, Animal Shelters, , ","Animal Licenses, Animal Adoption, Animal Shelters, , ", Mojave Animal Shelter,661-824-1030,923 Poole StreetMojave,Mojave,CA,93501,"Animal Licenses, Animal Adoption, Animal Shelters, , ",661-824-1030,http://www.kerncountyanimalservices.org/,Call for information ,"DescriptionProvides shelter for animals, holdings, adoptions and dog license sales.",Kimberley Mullins                                 Division Chief                                    ,animalservices@kerncounty.com
California,"Leisure Activities/Recreation, Youth Enrichment Programs, Public Internet Access Sites, Public Libraries, Children's Library Services, , ","Leisure Activities/Recreation, Youth Enrichment Programs, Public Internet Access Sites, Public Libraries, Children's Library Services, , ", Mojave Branch - Kern County Library,N/A,15555 O Street,N/A,CA,93501,"Leisure Activities/Recreation, Youth Enrichment Programs, Public Internet Access Sites, Public Libraries, Children's Library Services, , ",N/A,http://www.kerncountylibrary.org,Open to all ,"Description Program services include bookmobiles, interlibrary loan, on-line public catalog, typewriters and computers for public use, CD-ROM technology databases covering a variety of specialized subjects, complete children's services including story hours and dial-a-story and library tours for groups and services for visually and hearing impaired users.",N/A,info@kerncountylibrary.org
California,"Public Defender, , ","Public Defender, , ", Mojave Public Defender Office,661-824-7170,1775 Highway 58Mojave,58Mojave,CA,93501,"Public Defender, , ",661-824-7170,http://www.co.kern.ca.us/pubdef/contact.asp,"Low-income, court appointed. ",DescriptionProgram provides criminal defense for low income clients.,Konrad Moore                                    Public Defender of Kern County                    ,N/A
California,"Food Pantries, , ","Food Pantries, , ", Monday Sober Living ,N/A,1011 Belle TerraceBakersfield,Bakersfield,CA,93304,"Food Pantries, , ",N/A,http://www.capk.org,Open to all  ,DescriptionProgram offers a food distribution site.,N/A,info@capk.org
California,", ",", ", MOTHERTOBABY CALIFORNIA,N/A,N/A,N/A,N/A,N/A,", ",N/A,http://www.mothertobabyca.org,"DescriptionA non-profit Organization of Teratology Information Specialists (OTIS), dedicated to offering evidence-based information to mothers, health care professionals, and the general public. Provides up-to-date information about the risks of medications, chemicals, herbal products, illicit drugs, diseases and other exposures during pregnancy and while breastfeeding.","DescriptionA non-profit Organization of Teratology Information Specialists (OTIS), dedicated to offering evidence-based information to mothers, health care professionals, and the general public. Provides up-to-date information about the risks of medications, chemicals, herbal products, illicit drugs, diseases and other exposures during pregnancy and while breastfeeding.",,mothertobabyca@ucsd.edu
California,", ",", ", Mountain Communities Family Resource Center,N/A,3015 Mount Pinos Way Frazier Park,Park,CA,93225,", ",N/A,http://www.mcfrc.com,"DescriptionProgram provides family services, family health, adult and senior services, and county services. Services include access to food programs, utility assistance, toys for tots enrollment, restraining order information, parent empowerment sessions and resources, application assistance with Medi-Cal, and Calfresh, prescription assistance, vision programs, drug and alcohol support groups, bus tickets to medical appointments, job search, resume referrals, Medicare and SSI information, GBLA referrals, health screenings, volunteer services, code compliance follow- up assistance, animal control, dog licences, spay/neuter vouchers, and congress and senate representatives.","DescriptionProgram provides family services, family health, adult and senior services, and county services. Services include access to food programs, utility assistance, toys for tots enrollment, restraining order information, parent empowerment sessions and resources, application assistance with Medi-Cal, and Calfresh, prescription assistance, vision programs, drug and alcohol support groups, bus tickets to medical appointments, job search, resume referrals, Medicare and SSI information, GBLA referrals, health screenings, volunteer services, code compliance follow- up assistance, animal control, dog licences, spay/neuter vouchers, and congress and senate representatives.",Tammy RowanProgram Coordinator661-245-4303,mcfrc@frazmtn.com
California,"Multiple Offender DUI Programs, Drug Use Disorder Education/Prevention, , ","Multiple Offender DUI Programs, Drug Use Disorder Education/Prevention, , ", Multiple Offender DUI Program,661-871-3353,3533 Mount Vernon AvenueBakersfield,Bakersfield,CA,93306,"Multiple Offender DUI Programs, Drug Use Disorder Education/Prevention, , ",661-871-3353,http://www.steps-inc.com,"DUI offenders convicted of 2 or more DUI violations within 10 years, minors ",DescriptionProgram offers a 12 to 18 month DUI program for individuals trying to regain their license.,N/A,levistonsteps@yahoo.com
